p,propLabel,eff
http://www.wikidata.org/prop/direct/P7704,Europeana entity,1792
http://www.wikidata.org/prop/direct/P7305,Online PWN Encyclopedia ID,1783
http://www.wikidata.org/prop/direct/P140,religion or worldview,1781
http://www.wikidata.org/prop/direct/P8851,CONOR.SR ID,1738
http://www.wikidata.org/prop/direct/P10387,Databazeknih.cz author ID,1688
http://www.wikidata.org/prop/direct/P7763,copyright status as a creator,1685
http://www.wikidata.org/prop/direct/P103,native language,1650
http://www.wikidata.org/prop/direct/P7982,Hrvatska enciklopedija ID,1647
http://www.wikidata.org/prop/direct/P1273,CANTIC ID (former scheme),1635
http://www.wikidata.org/prop/direct/P1233,Internet Speculative Fiction Database author ID,1615
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,1579
http://www.wikidata.org/prop/direct/P1472,Commons Creator page,1565
http://www.wikidata.org/prop/direct/P7029,National Library of Russia ID,1556
http://www.wikidata.org/prop/direct/P6394,ELNET ID,1552
http://www.wikidata.org/prop/direct/P3222,NE.se ID,1546
http://www.wikidata.org/prop/direct/P5034,National Library of Korea ID,1541
http://www.wikidata.org/prop/direct/P10608,FID performing arts ID,1537
http://www.wikidata.org/prop/direct/P1899,LibriVox author ID,1529
http://www.wikidata.org/prop/direct/P9037,BHCL UUID,1480
http://www.wikidata.org/prop/direct/P485,archives at,1478
http://www.wikidata.org/prop/direct/P185,doctoral student,1475
http://www.wikidata.org/prop/direct/P345,IMDb ID,1470
http://www.wikidata.org/prop/direct/P1375,NSK ID,1437
http://www.wikidata.org/prop/direct/P6844,abART person ID,1401
http://www.wikidata.org/prop/direct/P12483,PMB – Personen der Moderne Basis person ID,1370
http://www.wikidata.org/prop/direct/P12386,Dansk Forfatterleksikon ID,1356
http://www.wikidata.org/prop/direct/P1296,Gran Enciclopèdia Catalana ID (former scheme),1355
http://www.wikidata.org/prop/direct/P8849,CONOR.BG ID,1353
http://www.wikidata.org/prop/direct/P12385,Gran Enciclopèdia Catalana ID,1351
http://www.wikidata.org/prop/direct/P4223,Treccani's Enciclopedia Italiana ID,1306
http://www.wikidata.org/prop/direct/P1442,image of grave,1272
http://www.wikidata.org/prop/direct/P10227,National Library of Ireland ID,1262
http://www.wikidata.org/prop/direct/P109,signature,1258
http://www.wikidata.org/prop/direct/P7369,National Library of Chile ID,1258
http://www.wikidata.org/prop/direct/P1564,At the Circulating Library ID,1239
http://www.wikidata.org/prop/direct/P8902,Archives at Yale agent ID,1223
http://www.wikidata.org/prop/direct/P102,member of political party,1219
http://www.wikidata.org/prop/direct/P8313,Lex ID,1211
http://www.wikidata.org/prop/direct/P509,cause of death,1185
http://www.wikidata.org/prop/direct/P551,residence,1181
http://www.wikidata.org/prop/direct/P13166,PUG authority ID,1170
http://www.wikidata.org/prop/direct/P5008,on focus list of Wikimedia project,1168
http://www.wikidata.org/prop/direct/P136,genre,1157
http://www.wikidata.org/prop/direct/P8750,Unione Romana Biblioteche Scientifiche ID,1143
http://www.wikidata.org/prop/direct/P7666,Visuotinė lietuvių enciklopedija ID,1091
http://www.wikidata.org/prop/direct/P25,mother,1080
http://www.wikidata.org/prop/direct/P802,student,1071
http://www.wikidata.org/prop/direct/P6706,De Agostini ID,1066
http://www.wikidata.org/prop/direct/P1415,Oxford Dictionary of National Biography ID,1056
http://www.wikidata.org/prop/direct/P3219,Encyclopædia Universalis ID,1047
http://www.wikidata.org/prop/direct/P12098,Kinobox person ID,1037
http://www.wikidata.org/prop/direct/P9247,Pontifical University of Salamanca ID,1033
http://www.wikidata.org/prop/direct/P2734,Unz Review author ID,1032
http://www.wikidata.org/prop/direct/P512,academic degree,1022
http://www.wikidata.org/prop/direct/P1196,manner of death,988
http://www.wikidata.org/prop/direct/P3029,UK National Archives ID,985
http://www.wikidata.org/prop/direct/P4619,National Library of Brazil ID,978
http://www.wikidata.org/prop/direct/P9097,American Academy in Rome ID,977
http://www.wikidata.org/prop/direct/P8349,Proleksis enciklopedija ID,972
http://www.wikidata.org/prop/direct/P434,MusicBrainz artist ID,969
http://www.wikidata.org/prop/direct/P1038,relative,965
http://www.wikidata.org/prop/direct/P12614,az.lib.ru author ID,957
http://www.wikidata.org/prop/direct/P5361,BNB person ID,943
http://www.wikidata.org/prop/direct/P10141,Academy of Athens authority ID,942
http://www.wikidata.org/prop/direct/P4985,TMDB person ID,916
http://www.wikidata.org/prop/direct/P11870,The Literary Encyclopedia person ID,903
http://www.wikidata.org/prop/direct/P135,movement,879
http://www.wikidata.org/prop/direct/P3280,BAnQ authority ID,877
http://www.wikidata.org/prop/direct/P10565,Encyclopedia of China (Third Edition) ID,859
http://www.wikidata.org/prop/direct/P9807,SNK ID,829
http://www.wikidata.org/prop/direct/P973,described at URL,828
http://www.wikidata.org/prop/direct/P2924,Great Russian Encyclopedia Online ID (old version),826
http://www.wikidata.org/prop/direct/P6385,Krugosvet article,811
http://www.wikidata.org/prop/direct/P7993,Treccani's Dizionario di Filosofia ID,794
http://www.wikidata.org/prop/direct/P2533,WomenWriters ID,790
http://www.wikidata.org/prop/direct/P4823,American National Biography ID,790
http://www.wikidata.org/prop/direct/P1066,student of,789
http://www.wikidata.org/prop/direct/P7865,CoBiS author ID,785
http://www.wikidata.org/prop/direct/P8234,LiederNet author ID,783
http://www.wikidata.org/prop/direct/P3342,significant person,780
http://www.wikidata.org/prop/direct/P2963,Goodreads author ID,776
http://www.wikidata.org/prop/direct/P1263,Notable Names Database ID,771
http://www.wikidata.org/prop/direct/P1816,National Portrait Gallery (London) person ID,771
http://www.wikidata.org/prop/direct/P12597,museum-digital person ID,769
http://www.wikidata.org/prop/direct/P3154,Runeberg author ID,759
http://www.wikidata.org/prop/direct/P5357,Encyclopedia of Science Fiction ID,741
http://www.wikidata.org/prop/direct/P1185,Rodovid ID,720
http://www.wikidata.org/prop/direct/P607,conflict,718
http://www.wikidata.org/prop/direct/P1953,Discogs artist ID,718
http://www.wikidata.org/prop/direct/P723,Digitale Bibliotheek voor de Nederlandse Letteren author ID,714
http://www.wikidata.org/prop/direct/P13183,JudaicaLink person (GND) ID,710
http://www.wikidata.org/prop/direct/P2607,BookBrainz author ID,708
http://www.wikidata.org/prop/direct/P9160,Biographical Dictionary of the Czech Lands ID,706
http://www.wikidata.org/prop/direct/P11514,Great Russian Encyclopedia portal ID,706
http://www.wikidata.org/prop/direct/P2799,BVMC person ID,679
http://www.wikidata.org/prop/direct/P10242,Lur Encyclopedic Dictionary ID,676
http://www.wikidata.org/prop/direct/P8795,Diamond Catalog ID for persons and organisations,666
http://www.wikidata.org/prop/direct/P1977,Les Archives du spectacle person ID,641
http://www.wikidata.org/prop/direct/P1889,different from,633
http://www.wikidata.org/prop/direct/P13019,RedBA Granada authority ID,623
http://www.wikidata.org/prop/direct/P863,InPhO ID,613
http://www.wikidata.org/prop/direct/P8496,Archive Site Trinity College Cambridge ID,605
http://www.wikidata.org/prop/direct/P10302,Film.ru person ID,605
http://www.wikidata.org/prop/direct/P1220,Internet Broadway Database person ID,603
http://www.wikidata.org/prop/direct/P2031,work period (start),596
http://www.wikidata.org/prop/direct/P1150,Regensburg Classification,587
http://www.wikidata.org/prop/direct/P5617,Evene ID,587
http://www.wikidata.org/prop/direct/P7400,LibraryThing author ID,577
http://www.wikidata.org/prop/direct/P839,IMSLP ID,576
http://www.wikidata.org/prop/direct/P6104,maintained by WikiProject,566
http://www.wikidata.org/prop/direct/P935,Commons gallery,560
http://www.wikidata.org/prop/direct/P9371,FranceArchives agent ID,560
http://www.wikidata.org/prop/direct/P6194,Austrian Biographical Encyclopedia ID,559
http://www.wikidata.org/prop/direct/P245,Union List of Artist Names ID,558
http://www.wikidata.org/prop/direct/P9171,RILM ID,552
http://www.wikidata.org/prop/direct/P1814,name in kana,551
http://www.wikidata.org/prop/direct/P3846,DBC author ID,546
http://www.wikidata.org/prop/direct/P6698,Japan Search name ID,539
http://www.wikidata.org/prop/direct/P2188,BiblioNet author ID,537
http://www.wikidata.org/prop/direct/P3417,Quora topic ID,537
http://www.wikidata.org/prop/direct/P3847,Open Library subject ID,532
http://www.wikidata.org/prop/direct/P11156,MMB ID,529
http://www.wikidata.org/prop/direct/P11180,Central Library of Volos authority ID,526
http://www.wikidata.org/prop/direct/P5504,RISM ID,520
http://www.wikidata.org/prop/direct/P2191,Vegetti Catalog of Fantastic Literature NILF ID,506
http://www.wikidata.org/prop/direct/P2966,National Library of Wales Authority ID,505
http://www.wikidata.org/prop/direct/P6722,FemBio ID,503
http://www.wikidata.org/prop/direct/P8947,Museo Galileo authority ID,502
http://www.wikidata.org/prop/direct/P4081,BHL creator ID,500
http://www.wikidata.org/prop/direct/P6821,Alvin ID,500
http://www.wikidata.org/prop/direct/P6872,has written for,499
http://www.wikidata.org/prop/direct/P1309,EGAXA ID,497
http://www.wikidata.org/prop/direct/P7311,Aozora Bunko author ID,496
http://www.wikidata.org/prop/direct/P8980,KANTO ID,495
http://www.wikidata.org/prop/direct/P1711,British Museum person or institution ID,493
http://www.wikidata.org/prop/direct/P7700,Slovak National Library (VIAF) ID,493
http://www.wikidata.org/prop/direct/P4293,PM20 folder ID,488
http://www.wikidata.org/prop/direct/P866,Perlentaucher ID,487
http://www.wikidata.org/prop/direct/P1890,CCAB ID,487
http://www.wikidata.org/prop/direct/P640,Léonore ID,481
http://www.wikidata.org/prop/direct/P2732,Persée author ID,474
http://www.wikidata.org/prop/direct/P7753,Projekt Gutenberg-DE author ID,471
http://www.wikidata.org/prop/direct/P184,doctoral advisor,470
http://www.wikidata.org/prop/direct/P1284,Munzinger person ID,470
http://www.wikidata.org/prop/direct/P11152,Léonore Web ID,459
http://www.wikidata.org/prop/direct/P9251,Cyprus University of Technology ID,457
http://www.wikidata.org/prop/direct/P1801,plaque image,453
http://www.wikidata.org/prop/direct/P9179,Biblioteca Iglesia Nacional Española en Roma ID,452
http://www.wikidata.org/prop/direct/P3788,BNMM authority ID,446
http://www.wikidata.org/prop/direct/P11185,Levadia Library ID,446
http://www.wikidata.org/prop/direct/P1556,zbMATH author ID,444
http://www.wikidata.org/prop/direct/P2639,Filmportal ID,442
http://www.wikidata.org/prop/direct/P4638,The Peerage person ID,442
http://www.wikidata.org/prop/direct/P3360,Nobel Prize People Nomination ID,434
http://www.wikidata.org/prop/direct/P5570,NooSFere author ID,434
http://www.wikidata.org/prop/direct/P12749,SNARC ID,430
http://www.wikidata.org/prop/direct/P8172,Sejm-Wielki.pl profile ID,428
http://www.wikidata.org/prop/direct/P1411,nominated for,424
http://www.wikidata.org/prop/direct/P8385,IDU person ID,411
http://www.wikidata.org/prop/direct/P11239,DFK Paris person ID,408
http://www.wikidata.org/prop/direct/P9178,Biblioteca Franco Serantini ID,404
http://www.wikidata.org/prop/direct/P13022,Koha Kütüphane ID,388
http://www.wikidata.org/prop/direct/P2889,FamilySearch person ID,383
http://www.wikidata.org/prop/direct/P11182,UOM ID,382
