,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
6853,http://www.wikidata.org/entity/Q5483895,Francisco Romero,1891,male,Argentina,South America,"critic, military personnel, philosopher, translator, university teacher, writer","educational system, philosophy, translation"
6859,http://www.wikidata.org/entity/Q83003,Antonio Gramsci,1891,male,Kingdom of Italy,Europe,"economist, historian, journalist, literary critic, opinion journalist, philosopher, politician, sociologist, writer","economics, literary criticism, literature, opinion journalism, philosophy, politics, theatre criticism"
6864,http://www.wikidata.org/entity/Q12408379,Israel Efros,1891,male,United States,North America,"lexicographer, poet, rabbi, university teacher","Hebrew poetry, Jewish philosophy, Judaism, history of philosophy, philosophy, poetry"
6867,http://www.wikidata.org/entity/Q5481927,Francis Meynell,1891,male,United Kingdom,Europe,"designer, poet, printer, publisher","literature, pressing, typography"
6868,http://www.wikidata.org/entity/Q3564586,Katina Papa,1891,female,Greece,Europe,"poet, writer",literature
6869,http://www.wikidata.org/entity/Q5701833,Helen Ashton,1891,female,United Kingdom,Europe,"novelist, physician, writer","literature, medicine"
6870,http://www.wikidata.org/entity/Q1712202,Max Hildebert Boehm,1891,male,Russian Empire,North America,"university teacher, writer",philosophy
6872,http://www.wikidata.org/entity/Q93137,Pär Lagerkvist,1891,male,Sweden,Europe,"autobiographer, essayist, playwright, poet, screenwriter, writer",literature
6873,http://www.wikidata.org/entity/Q170147,Hans Reichenbach,1891,male,Germany,Europe,"philosopher, physicist, university teacher",philosophy
6885,http://www.wikidata.org/entity/Q80900,Pearl S. Buck,1892,female,United States,North America,"autobiographer, human rights activist, journalist, missionary, novelist, prose writer, screenwriter, translator, writer","Chinese culture, English literature"
6890,http://www.wikidata.org/entity/Q2861926,Armand Lunel,1892,male,France,Europe,"historian, university teacher, writer","Judaism, philosophy"
6891,http://www.wikidata.org/entity/Q11023994,Miloš Đurić,1892,male,"Kingdom of Serbs, Croats and Slovenes",Europe,"classical philologist, philologist, philosopher, teacher, translator, university teacher, writer","classical philology, philosophy, translations from Greek, translations from Latin"
6899,http://www.wikidata.org/entity/Q358561,Reinhold Niebuhr,1892,male,United States,North America,"ethicist, philosopher, political scientist, theologian, university teacher",theology
6900,http://www.wikidata.org/entity/Q892,J. R. R. Tolkien,1892,male,United Kingdom,Europe,"author, essayist, historian, illustrator, linguist, literary critic, military officer, novelist, philologist, poet, prose writer, teacher, translator, university teacher, writer","English literature, fantasy literature, history of literature, linguistics, literature"
6906,http://www.wikidata.org/entity/Q89272,Franz Schoenberner,1892,male,United States,North America,"editing staff, editor, journalist, writer","art history, history of literature, literature"
6910,http://www.wikidata.org/entity/Q722164,Sergei Tretyakov,1892,male,Soviet Union,Europe,"editing staff, journalist, opinion journalist, playwright, poet, screenwriter, writer",literature
6914,http://www.wikidata.org/entity/Q236669,Rebecca West,1892,female,United Kingdom,Europe,"essayist, journalist, literary critic, novelist, opinion journalist, prose writer, writer","essay, feminism, literary activity, literary criticism, travel book"
6916,http://www.wikidata.org/entity/Q5497302,Frederick Augustus Voigt,1892,male,United Kingdom,Europe,"journalist, writer","journalism, literature"
6918,http://www.wikidata.org/entity/Q1452357,Fred Hildenbrandt,1892,male,Germany,Europe,"editing staff, journalist, screenwriter, writer",literature
6920,http://www.wikidata.org/entity/Q303747,Honorio Delgado,1892,male,Peru,South America,"philosopher, psychiatrist",psychiatry
6926,http://www.wikidata.org/entity/Q270643,Mercedes de Acosta,1892,female,United States,North America,"autobiographer, novelist, poet, screenwriter",poetry
6930,http://www.wikidata.org/entity/Q1670369,Martin Thust,1892,male,Germany,Europe,"philosopher, priest, theologian, university teacher","philosophy, religion, systematic theology"
6931,http://www.wikidata.org/entity/Q5388452,Erik Ahlman,1892,male,Finland,Europe,"linguist, philosopher",philosophy
6932,http://www.wikidata.org/entity/Q933749,Mykola Kulish,1892,male,Soviet Union,Europe,"journalist, pedagogue, playwright, teacher, writer","drama, journalism, literature, pedagogy"
6935,http://www.wikidata.org/entity/Q156333,J.B.S. Haldane,1892,male,India,Asia,"biologist, philosopher, physiologist, university teacher",biology
6937,http://www.wikidata.org/entity/Q2547168,Walther Georg Hartmann,1892,male,Germany,Europe,"editing staff, general secretary, germanist, opinion journalist, writer","German studies, editing, literature, opinion journalism"
6939,http://www.wikidata.org/entity/Q1556619,Gustav Festenberg,1892,male,Austria,Europe,"essayist, poet, translator, writer","essay, literature, poetry, translating activity, translation"
6944,http://www.wikidata.org/entity/Q364780,Adolf von Hatzfeld,1892,male,Germany,Europe,"poet, writer","German studies, literature"
6947,http://www.wikidata.org/entity/Q100968,Alfred Vagts,1892,male,Germany,Europe,"historian, military historian, non-fiction writer, poet, translator, writer","literature, military affairs"
6948,http://www.wikidata.org/entity/Q5346211,Edwin Arthur Burtt,1892,male,United States,North America,"historian, philosopher","history of philosophy, history of science, philosophy, philosophy of religion, philosophy of science"
6950,http://www.wikidata.org/entity/Q2909654,Efraim Auerbach,1892,male,United States,North America,"Yiddish, journalist, poet, translator",literature
6952,http://www.wikidata.org/entity/Q854958,Adorján Bónyi,1892,male,Hungary,Europe,"editing staff, journalist, playwright, screenwriter, writer","drama, film screenwriting, journalism, literature, theatre criticism"
6953,http://www.wikidata.org/entity/Q12762064,Albína Dratvová,1892,female,Czechoslovakia,Europe,"philosopher, teacher, university teacher","philosophy and science, philosophy of science"
6955,http://www.wikidata.org/entity/Q47561,Ivo Andrić,1892,male,"Kingdom of Serbs, Croats and Slovenes",Europe,"diplomat, essayist, novelist, poet, writer",literature
6957,http://www.wikidata.org/entity/Q234721,Djuna Barnes,1892,female,United States,North America,"journalist, novelist, painter, playwright, poet, writer",poetry
6958,http://www.wikidata.org/entity/Q76522,Helmuth Plessner,1892,male,Germany,Europe,"anthropologist, philosopher, sociologist, university teacher",philosophy
6964,http://www.wikidata.org/entity/Q61078,Walter Benjamin,1892,male,German Reich,Europe,"art critic, essayist, literary critic, philosopher, sociologist, translator, writer",philosophy
6972,http://www.wikidata.org/entity/Q737448,Muhammad Husayn Tabatabaei,1892,male,Iran,Asia,"mystic, philosopher, poet, theologian, writer","Islam, Islamic philosophy, tafsir"
6975,http://www.wikidata.org/entity/Q46182,Zośka Vieras,1892,female,Soviet Union,Europe,"memoirist, opinion journalist, painter, poet, public figure, translator, writer","botany, creative and professional writing, literature, memoir literature, opinion journalism, publishing, social engagement, translating activity"
6977,http://www.wikidata.org/entity/Q1447451,Franz Janowitz,1892,male,Austria,Europe,"poet, writer",literature
6979,http://www.wikidata.org/entity/Q571203,Karel Poláček,1892,male,Czechoslovakia,Europe,"editing staff, journalist, screenwriter, writer","editing, film screenwriting, humorous literature, journalism, literature"
6985,http://www.wikidata.org/entity/Q148886,Bruno Schulz,1892,male,West Ukrainian People's Republic,Europe,"draftsperson, graphic artist, literary critic, painter, writer",literature
6989,http://www.wikidata.org/entity/Q3646655,Melchior Wańkowicz,1892,male,United States,North America,"journalist, opinion journalist, politician, publisher, war correspondent, writer",literature
6996,http://www.wikidata.org/entity/Q1125077,Fortunato Depero,1892,male,Kingdom of Italy,Europe,"artist, designer, graphic artist, graphic designer, painter, photographer, poet, sculptor, visual artist, writer","literature, visual arts"
6997,http://www.wikidata.org/entity/Q7279235,Rachel Ferguson,1892,female,United Kingdom,Europe,"journalist, novelist, playwright, writer","drama, journalism, prose"
7000,http://www.wikidata.org/entity/Q2342103,Stella Benson,1892,female,United Kingdom,Europe,"novelist, poet, writer","feminism, literature, poetry"
7001,http://www.wikidata.org/entity/Q27661985,Raphael Demos,1892,male,United States,North America,"philosopher, university teacher","ethics, ethnic religion, society and politics"
7002,http://www.wikidata.org/entity/Q81071,James M. Cain,1892,male,United States,North America,"journalist, novelist, reporter, screenwriter, writer","film screenwriting, journalism, literary activity"
7009,http://www.wikidata.org/entity/Q1071696,Bohuslav Reynek,1892,male,Czechoslovakia,Europe,"illustrator, painter, poet, printmaker, publisher, translator, writer","literature, translation, visual arts"
7010,http://www.wikidata.org/entity/Q172346,Luigi Bartolini,1892,male,Kingdom of Italy,Europe,"art critic, artist, graphic artist, painter, poet, writer","graphics, literature"
7012,http://www.wikidata.org/entity/Q3383636,Pierre Abraham,1892,male,France,Europe,"aircraft pilot, biographer, encyclopedist, journalist, literary critic, writer","literary criticism, literature"
7017,http://www.wikidata.org/entity/Q514998,Richard Aldington,1892,male,United Kingdom,Europe,"biographer, editing staff, journalist, literary critic, military personnel, novelist, poet, translator, writer","biography, editing, literary magazine, modernist literature, poetry, prose"
7029,http://www.wikidata.org/entity/Q14947386,Paul Foulquié,1893,male,France,Europe,"philosopher, teacher","epistemology, existentialism, metaphysics, philosophy, psychology"
7036,http://www.wikidata.org/entity/Q3665438,Cesare Giardini,1893,male,Kingdom of Italy,Europe,"historian, journalist, translator, writer",literature
7039,http://www.wikidata.org/entity/Q2413639,Ivan Albreht,1893,male,Kingdom of Yugoslavia,Europe,"editor, playwright, poet, translator, writer",literature
7041,http://www.wikidata.org/entity/Q20775499,René Martel,1893,male,France,Europe,"historian, journalist, novelist, philologist, slavist, translator, university teacher, writer","Slavic studies, history, journalism, philology"
7042,http://www.wikidata.org/entity/Q76823,Karl Mannheim,1893,male,Germany,Europe,"sociologist, university teacher, writer",philosophy
7043,http://www.wikidata.org/entity/Q714187,Georges Florovsky,1893,male,United States,North America,"historian, philosopher, priest, theologian, university teacher","Eastern Orthodox theology, ecumenism, philosophy, religion"
7046,http://www.wikidata.org/entity/Q4952547,Aase Hansen,1893,female,Kingdom of Denmark,Europe,"novelist, teacher, translator, writer","literature, translation"
7051,http://www.wikidata.org/entity/Q3319106,Mohand Tazerout,1893,male,Algeria,Africa,"essayist, philosopher, translator, writer","German philosophy, essay, philosophy, translating activity"
7053,http://www.wikidata.org/entity/Q4199246,Atanas A. Iliev,1893,male,Bulgaria,Europe,"philosopher, psychologist, university teacher","ethics, philosophy, psychology"
7055,http://www.wikidata.org/entity/Q2612294,Johan Carp,1893,male,Kingdom of the Netherlands,Europe,"jurist, writer","national socialism, philosopher, philosophy"
7062,http://www.wikidata.org/entity/Q106740,Dorothy L. Sayers,1893,female,United Kingdom,Europe,"editor, essayist, novelist, philologist, playwright, poet, translator, writer","advertising, detective fiction, essay, mystery fiction, novel, poetry, short story"
7066,http://www.wikidata.org/entity/Q1459145,Friedrich Franz von Unruh,1893,male,Germany,Europe,"journalist, writer",literature
7068,http://www.wikidata.org/entity/Q5816,Mao Zedong,1893,male,Qing dynasty,Asia,"librarian, military theorist, philosopher, poet, political theorist, politician, revolutionary, teacher, writer","calligraphy, creative and professional writing, dictatorship, library science, military strategy, philosophy, poetry, politics, teaching"
7082,http://www.wikidata.org/entity/Q1462783,Friedrich Wencker-Wildberg,1893,male,Germany,Europe,"editing staff, historian, translator, writer","editing, history, literature, translation"
7083,http://www.wikidata.org/entity/Q2158366,Robert Nichols,1893,male,United Kingdom,Europe,"novelist, playwright, poet, writer",literature
7084,http://www.wikidata.org/entity/Q31215,Miloš Crnjanski,1893,male,Kingdom of Yugoslavia,Europe,"art critic, diplomat, essayist, journalist, literary critic, novelist, playwright, poet, writer","art criticism, drama, essay, journalism, literary criticism, literature"
7093,http://www.wikidata.org/entity/Q554899,Kastuś Jezavitaŭ,1893,male,Latvia,Europe,"editing staff, military personnel, opinion journalist, pedagogue, poet, politician, publisher, soldier, translator, writer","literature, military affairs, pedagogy, politics, translation"
7094,http://www.wikidata.org/entity/Q1289059,Eduard Kranner,1893,male,Austria,Europe,"jurist, literary scholar, writer","law, literature"
7095,http://www.wikidata.org/entity/Q15630957,Albert Adès,1893,male,France,Europe,"literary critic, novelist, writer",prose
7100,http://www.wikidata.org/entity/Q355355,Roman Ingarden,1893,male,Poland,Europe,"aesthetician, philosopher, university teacher, writer","George Berkeley, aesthetics, ontology, phenomenology, philosophy"
7101,http://www.wikidata.org/entity/Q2044867,Bernard Zimmer,1893,male,France,Europe,"playwright, screenwriter, writer",literature
7102,http://www.wikidata.org/entity/Q1248105,Aleksei Losev,1893,male,Soviet Union,Europe,"classical philologist, classical scholar, historian, music educator, philosopher, translator, writer","ancient philosophy, dialectic, hermeneutics, history of philosophy, myth, philosophy, philosophy of language, philosophy of mathematics, philosophy of music"
7105,http://www.wikidata.org/entity/Q519082,Fulton Oursler,1893,male,United States,North America,"journalist, novelist, playwright, writer","drama, journalism, literature"
7109,http://www.wikidata.org/entity/Q110501,Käthe Miethe,1893,female,Germany,Europe,"translator, writer","literature, translation"
7114,http://www.wikidata.org/entity/Q2121939,Urbain Van de Voorde,1893,male,Belgium,Europe,"poet, prose writer, writer","literature, poetry"
7122,http://www.wikidata.org/entity/Q19187951,Menahem Stein,1893,male,Poland,Europe,"Judaic scholar, historian, philosopher, translator, university teacher, zionist","Jewish history, Jewish philosophy, ancient philosophy, history of philosophy, medieval philosophy, translating activity"
7125,http://www.wikidata.org/entity/Q341367,Čestmír Jeřábek,1893,male,Czechoslovakia,Europe,"dramaturge, editing staff, literary critic, playwright, poet, prose writer, science fiction writer, writer","drama, literary criticism, literature, science fiction, science fiction literature"
7127,http://www.wikidata.org/entity/Q215916,Willi Apel,1893,male,United States,North America,"lexicographer, mathematician, musicologist, philosopher, university teacher, writer","aesthetics, history of music, mathematics"
7128,http://www.wikidata.org/entity/Q95833,Friedrich Sieburg,1893,male,Germany,Europe,"biographer, diplomat, journalist, literary critic, writer","history of literature, journalism, literary criticism, literature"
7131,http://www.wikidata.org/entity/Q450802,Vera Brittain,1893,female,United Kingdom,Europe,"journalist, novelist, nurse, pacifist, peace activist, poet, suffragist, women's rights activist, writer",poetry
7133,http://www.wikidata.org/entity/Q1247587,Wilhelm Zentner,1893,male,Germany,Europe,"music critic, university teacher, writer","literature, music criticism, theatre criticism"
7134,http://www.wikidata.org/entity/Q462270,Sylvia Townsend Warner,1893,female,United Kingdom,Europe,"linguist, musicologist, novelist, poet, translator, writer",poetry
7138,http://www.wikidata.org/entity/Q2848078,André Lang,1893,male,France,Europe,"film critic, journalist, playwright, writer","drama, journalism, literature"
7140,http://www.wikidata.org/entity/Q1167488,Liang Shuming,1893,male,People's Republic of China,Asia,"philosopher, politician, writer",philosophy
7145,http://www.wikidata.org/entity/Q11724936,Jerzy Kuncewicz,1893,male,Poland,Europe,"essayist, jurist, philosopher, politician, sociologist, writer","creative and professional writing, law, philosophy, political activity, social engagement, sociology"
7146,http://www.wikidata.org/entity/Q1960513,Vadim Shershenevich,1893,male,Russian Empire,North America,"director, playwright, poet, screenwriter, translator, writer","directing, film screenwriting, literature, translating activity"
7155,http://www.wikidata.org/entity/Q93268609,Reginald Haynes Barrow,1893,male,United Kingdom,Europe,"historian, philosopher",classical antiquity
7159,http://www.wikidata.org/entity/Q893722,Boris Hessen,1893,male,Soviet Union,Europe,"philosopher, physicist","history of science, philosophy, physics"
7161,http://www.wikidata.org/entity/Q3371696,Paul Lintier,1893,male,France,Europe,"military personnel, writer",literature
7162,http://www.wikidata.org/entity/Q17627695,Stanislas Dotremont,1893,male,Belgium,Europe,"essayist, jurist, novelist, poet, prose writer, writer","creative and professional writing, dramatic game, law, poetry, prose"
7163,http://www.wikidata.org/entity/Q1732148,Karl Lerbs,1893,male,Germany,Europe,"dramaturge, editing staff, screenwriter, translator, writer","journalism, literature, translation"
7167,http://www.wikidata.org/entity/Q5533066,Genevieve Foster,1893,female,United States,North America,"illustrator, writer",literature
7172,http://www.wikidata.org/entity/Q2989906,Viktor Petrov,1894,male,Soviet Union,Europe,"archaeologist, historian, literary critic, philosopher, writer","literary criticism, literature, philosophy, social anthropology"
7174,http://www.wikidata.org/entity/Q539544,Jerzy Neyman,1894,male,United States,North America,"mathematician, philosopher, statistician, university teacher","health statistics, mathematical statistics, mathematics, statistics"
7178,http://www.wikidata.org/entity/Q219475,Václav Hlavatý,1894,male,Czechoslovakia,Europe,"mathematician, pedagogue, philosopher, politician, university teacher","algebraic geometry, differential geometry, general relativity, mathematics, politics, theory of everything"
7179,http://www.wikidata.org/entity/Q2059412,Paul Elbogen,1894,male,United States,North America,"art historian, editing staff, jurist, writer","art history, editing, law, literature"
7180,http://www.wikidata.org/entity/Q178577,Norbert Wiener,1894,male,United States,North America,"autobiographer, computer scientist, mathematician, psychologist, scientist, university teacher","applied mathematics, cybernetics, informatics, mathematics, philosophy, probability theory, stochastic process"
7181,http://www.wikidata.org/entity/Q984030,Ilia Zdanevich,1894,male,Russian Empire,North America,"artist, designer, historian, literary critic, poet, publisher, visual artist, writer","Byzantine studies, history, literary criticism, literary theory, literature, visual arts"
7185,http://www.wikidata.org/entity/Q1731873,Karl Kaltwasser,1894,male,Germany,Europe,"literary critic, opinion journalist, politician, writer","cultural policy, literary criticism, literature, opinion journalism, regional policy, theatre criticism"
7188,http://www.wikidata.org/entity/Q151820,Louis-Ferdinand Céline,1894,male,France,Europe,"military personnel, novelist, writer",medicine
7192,http://www.wikidata.org/entity/Q433560,Bryher,1894,female,United Kingdom,Europe,"autobiographer, novelist, poet, writer",poetry
7194,http://www.wikidata.org/entity/Q782738,Rafael Sánchez Mazas,1894,male,Spain,Europe,"journalist, novelist, poet, politician, writer","Historia moderna, belletristic literature, journalism"
7195,http://www.wikidata.org/entity/Q77175,Friedrich Pollock,1894,male,Germany,Europe,"economist, philosopher, sociologist","economy, philosophy, sociology"
7198,http://www.wikidata.org/entity/Q978137,Heinar Schilling,1894,male,Germany,Europe,"archaeologist, poet, prehistorian, publisher, writer","literature, publishing"
7200,http://www.wikidata.org/entity/Q44540,Oskar Maria Graf,1894,male,United States,North America,"journalist, novelist, poet, publisher, writer",German-language literature
7201,http://www.wikidata.org/entity/Q1604422,Helmuth Klotz,1894,male,German Reich,Europe,"opinion journalist, politician, writer","literature, opinion journalism, politics"
7202,http://www.wikidata.org/entity/Q15126738,William J. Blake,1894,male,United States,North America,"economist, novelist, prose writer","creative and professional writing, economics, economics and politics"
7205,http://www.wikidata.org/entity/Q9342156,Stanisław Józef Biegański,1894,male,Poland,Europe,"historian, military officer, philosopher","history, philosophy"
7206,http://www.wikidata.org/entity/Q505528,Harold Innis,1894,male,Canada,North America,"economist, historian, philosopher, professor, sociologist, university teacher",economics
7208,http://www.wikidata.org/entity/Q11903049,Yrjö Reenpää,1894,male,Finland,Europe,"military personnel, philosopher, physician, physiologist, university teacher","human physiology, philosophy"
7210,http://www.wikidata.org/entity/Q580313,Baynard Kendrick,1894,male,United States,North America,"novelist, writer","creative and professional writing, detective novel"
7211,http://www.wikidata.org/entity/Q2853798,Antoine Chollier,1894,male,France,Europe,"journalist, poet, writer","journalism, literature"
7212,http://www.wikidata.org/entity/Q60091,Josef Ludvik Fischer,1894,male,Kingdom of the Netherlands,Europe,"editing staff, librarian, literary critic, literary scholar, pedagogue, philosopher, professor, sociologist, teacher, translator, university teacher, writer","literary studies, philosophy, sociology"
7227,http://www.wikidata.org/entity/Q1566875,Norman Balk,1894,male,Germany,Europe,"university teacher, writer","Scandinavian studies, literature"
7228,http://www.wikidata.org/entity/Q12115897,Roman Kupchynskyi,1894,male,United States,North America,"composer, journalist, literary critic, novelist, poet, prose writer, public figure, writer","creative and professional writing, journalism, literary criticism, music, social engagement"
7231,http://www.wikidata.org/entity/Q2076188,Peter Kast,1894,male,Germany,Europe,"journalist, opinion journalist, writer","literature, opinion journalism"
7232,http://www.wikidata.org/entity/Q3506406,Mahmud Taymur,1894,male,Egypt,Africa,"journalist, writer","journalism, literature"
7234,http://www.wikidata.org/entity/Q1269757,Wilhelm Fabricius,1894,male,Germany,Europe,"forester, writer","forestry, literature"
7235,http://www.wikidata.org/entity/Q3505923,Suzanne Briet,1894,female,France,Europe,"librarian, poet, writer","library science, literature"
7236,http://www.wikidata.org/entity/Q6148851,Jan Emil Skiwski,1894,male,Poland,Europe,"journalist, literary critic, philosopher, translator, writer","journalism, literary criticism, opinion journalism, philosophy, political activity, translating activity"
7246,http://www.wikidata.org/entity/Q353774,Adela Rogers St. Johns,1894,female,United States,North America,"biographer, essayist, journalist, novelist, screenwriter, writer",essay
7249,http://www.wikidata.org/entity/Q765423,H. L. Davis,1894,male,United States,North America,"novelist, poet, writer","belletristic literature, literary activity, novel, poetry, short story"
7251,http://www.wikidata.org/entity/Q3629638,Augusto Guzzo,1894,male,Kingdom of Italy,Europe,"philosopher, university teacher, writer",philosophy
7252,http://www.wikidata.org/entity/Q5484801,Franjo Malgaj,1894,male,Austria-Hungary,Europe,"military officer, military personnel, poet","armed forces, literature"
7256,http://www.wikidata.org/entity/Q1040574,Carl Seelig,1894,male,Switzerland,Europe,"journalist, publisher, writer","journalism, literature, publisher, publishing company"
7257,http://www.wikidata.org/entity/Q434039,Tama Morita,1894,female,Japan,Asia,"essayist, novelist, politician, writer",essay
7264,http://www.wikidata.org/entity/Q889001,Martinus Nijhoff,1894,male,Kingdom of the Netherlands,Europe,"literary critic, poet, resistance fighter, translator, writer","literature, poetry"
7266,http://www.wikidata.org/entity/Q87408815,Theodor Siegfried,1894,male,Germany,Europe,"philosopher, theologian","philosophy of religion, theology"
7267,http://www.wikidata.org/entity/Q461957,Violet Keppel Trefusis,1894,female,United Kingdom,Europe,"novelist, socialite, writer","creative and professional writing, non-fiction literature, prose"
7271,http://www.wikidata.org/entity/Q1600888,Heinz Schauwecker,1894,male,Germany,Europe,"physician, poet, writer","literature, medicine, poetry"
7274,http://www.wikidata.org/entity/Q981449,Ivan Isakov,1894,male,Soviet Union,Europe,"military personnel, politician","literature, military, military history"
7276,http://www.wikidata.org/entity/Q3920284,Siamion Vaĺfson,1894,male,Soviet Union,Europe,"literary scholar, philosopher, sociologist",philosophy
7286,http://www.wikidata.org/entity/Q1388819,Juan Filloy,1894,male,Argentina,South America,"jurist, lawyer, librarian, writer","caricature, justice and judicial activities, law, literary activity, literature"
7288,http://www.wikidata.org/entity/Q368455,Yury Tynyanov,1894,male,Soviet Union,Europe,"critic, literary critic, literary scholar, novelist, playwright, poet, prose writer, screenwriter, translator, writer","creative and professional writing, drama, literary criticism, literary studies, prose, screenplay, translation"
7291,http://www.wikidata.org/entity/Q731904,Valentin Asmus,1894,male,Soviet Union,Europe,philosopher,"aesthetics, logic"
7294,http://www.wikidata.org/entity/Q219634,Claude Cahun,1894,non-binary,France,Europe,"artist, painter, photographer, resistance fighter, sculptor, writer","literature, photography"
7295,http://www.wikidata.org/entity/Q287953,Jean Rostand,1894,male,France,Europe,"biologist, historian, philosopher, writer",biology
7299,http://www.wikidata.org/entity/Q124623,Rudolf Jakob Humm,1895,male,Switzerland,Europe,"playwright, translator, writer","drama, literature, translation"
7301,http://www.wikidata.org/entity/Q1608695,Herbert Kühn,1895,male,Germany,Europe,"archaeologist, art historian, historian, philosopher, prehistorian, university teacher","art history, history, philosophy, prehistory"
7303,http://www.wikidata.org/entity/Q1611440,Hermann Heinz Ortner,1895,male,Austria,Europe,"playwright, screenwriter, writer","drama, literature"
7307,http://www.wikidata.org/entity/Q1284410,Werner Johannes Guggenheim,1895,male,Switzerland,Europe,"actor, dramaturge, playwright, translator, writer","acting, literature, translation"
7309,http://www.wikidata.org/entity/Q705058,Dudley Nichols,1895,male,United States,North America,"film director, film producer, novelist, screenwriter","film, film direction, filmmaking"
7315,http://www.wikidata.org/entity/Q371925,Corrado Alvaro,1895,male,Kingdom of Italy,Europe,"journalist, military personnel, novelist, poet, science fiction writer, screenwriter, translator, writer","journalism, literature, short story"
7317,http://www.wikidata.org/entity/Q3416076,Rachel Bespaloff,1895,female,United States,North America,"literary scholar, philosopher, writer","French literature, philosophy"
7318,http://www.wikidata.org/entity/Q654747,L. P. Hartley,1895,male,United Kingdom,Europe,"novelist, writer",prose
7319,http://www.wikidata.org/entity/Q76826,Max Horkheimer,1895,male,United States,North America,"literary critic, pedagogue, philosopher, sociologist, university teacher","Age of Enlightenment, philosophy, social theory"
7320,http://www.wikidata.org/entity/Q467058,Noel Streatfeild,1895,female,United Kingdom,Europe,"novelist, writer","children's and youth literature, creative and professional writing, romance"
7321,http://www.wikidata.org/entity/Q185375,Mikhail Bakhtin,1895,male,Soviet Union,Europe,"art theorist, linguist, literary critic, literary scholar, philosopher, writer",philosophy
7334,http://www.wikidata.org/entity/Q1358634,Ernst Herrmann,1895,male,Germany,Europe,"geographer, traveler, university teacher, writer","geography, literature, travel"
7336,http://www.wikidata.org/entity/Q1606264,Henrik Herse,1895,male,Germany,Europe,"dramaturge, military officer, writer",literature
7338,http://www.wikidata.org/entity/Q2828058,Aimé Félix Tschiffely,1895,male,Switzerland,Europe,"pedagogue, traveler, university teacher, writer","equestrianism, literature, pedagogy, travel"
7339,http://www.wikidata.org/entity/Q786572,Galvano Della Volpe,1895,male,Kingdom of Italy,Europe,philosopher,philosophy
7340,http://www.wikidata.org/entity/Q2904922,Eugen Relgis,1895,male,Romania,Europe,"Esperantist, biographer, librarian, linguist, literary critic, philosopher, poet, psychologist, sociologist, translator, writer","anarchism, literature, pacifism, philosophy, translating activity"
7343,http://www.wikidata.org/entity/Q3171721,Jean Desthieux,1895,male,France,Europe,"essayist, journalist, literary critic, official, poet, writer","essay, journalism, literature, poetry"
7345,http://www.wikidata.org/entity/Q45294,Eugen Roth,1895,male,Germany,Europe,"editing staff, poet, writer","German studies, history, philosophy"
7348,http://www.wikidata.org/entity/Q4893020,Joaquin Xirau Palau,1895,male,Spain,Europe,"philosopher, translator, university teacher, writer","educational system, philosophy, translation, translation from German"
7349,http://www.wikidata.org/entity/Q466026,Susanne Langer,1895,female,United States,North America,"philosopher, university teacher, writer",philosophy of mind
7356,http://www.wikidata.org/entity/Q321658,Václav Kaplický,1895,male,Czechoslovakia,Europe,"editing staff, journalist, poet, prose writer, publisher, writer",literature
7357,http://www.wikidata.org/entity/Q329906,Jin Yuelin,1895,male,China,Asia,"philosopher, university teacher","epistemology, logic, metaphysics, philosophy"
7359,http://www.wikidata.org/entity/Q177411,Jean Giono,1895,male,France,Europe,"film director, novelist, playwright, poet, screenwriter, translator, writer",literature
7363,http://www.wikidata.org/entity/Q725689,David Jones,1895,male,United Kingdom,Europe,"illustrator, painter, poet, wood engraver, writer","art of painting, literature, poetry, wood engraving technique"
7365,http://www.wikidata.org/entity/Q13021,Vinoba Bhave,1895,male,India,Asia,"human rights activist, philosopher, politician, social reformer, writer","human rights, nonviolence, philosophy"
7371,http://www.wikidata.org/entity/Q95166092,Amalie Svobodová-Skokanová,1895,female,Czechoslovakia,Europe,"historian, opinion journalist, pedagogue, philosopher, teacher, writer","Baroque, Catholicism, cultural history, history, history of Christianity, opinion journalism, pedagogy, religion, religion and society"
7373,http://www.wikidata.org/entity/Q1358711,Ernst Hoferichter,1895,male,Germany,Europe,"actor, journalist, stage actor, writer","acting, journalism, literature"
7375,http://www.wikidata.org/entity/Q472628,Vladimir Zazubrin,1895,male,Soviet Union,Europe,"journalist, military officer, revolutionary, writer","journalism, literature"
7384,http://www.wikidata.org/entity/Q1372562,Eugen Gürster,1895,male,Germany,Europe,"diplomat, dramaturge, journalist, literary scholar, writer","diplomacy, journalism, literary studies, literature"
7386,http://www.wikidata.org/entity/Q1731518,Karl Heinz Abshagen,1895,male,Germany,Europe,"journalist, jurist, university teacher, writer","biography, creative and professional writing, journalism, law, literature"
7390,http://www.wikidata.org/entity/Q12022924,Jan Opatrný,1895,male,Czechoslovakia,Europe,"pedagogue, philosopher, priest, theologian, writer","Christian Church, philosophy, theology"
7393,http://www.wikidata.org/entity/Q896474,Dumitru D. Roșca,1895,male,Romania,Europe,"philosopher, translator, university teacher","philosopher, philosophy"
7394,http://www.wikidata.org/entity/Q102289,Buckminster Fuller,1895,male,United States,North America,"architect, artist, designer, engineer, inventor, mathematician, philosopher, poet, scientist, university teacher, visual artist, writer","architect, design, engineer"
7395,http://www.wikidata.org/entity/Q334086,Lin Yutang,1895,male,Taiwan,Asia,"lexicographer, novelist, translator, writer","English literature, essay"
